area,bedrooms,bathrooms,age,location,furnishing,parking,condition,price
1745.0,3,3,5,Metro City,Unfurnished,1,Good,7700000
994.0,1,2,5,Metro City,Unfurnished,3,Excellent,5450000
1464.0,3,3,8,Metro City,Unfurnished,1,Poor,5600000
1085.0,2,2,22,Rural Area,Fully Furnished,2,Excellent,1000000
1550.0,3,3,2,Metro City,Unfurnished,0,Good,16000000
1105.0,2,2,7,Metro City,Semi-Furnished,1,Good,3800000
1225.0,2,2,13,Metro City,Semi-Furnished,1,Good,4800000
550.0,1,1,11,Tier-1 City,Unfurnished,2,Good,1200000
1077.0,2,2,3,Metro City,Unfurnished,2,Excellent,3750000
1165.0,2,2,21,Metro City,Semi-Furnished,2,Good,4000000
1750.0,4,3,0,Metro City,Unfurnished,1,Good,21500000
3855.0,4,4,4,Rural Area,Unfurnished,0,Good,2000000
1223.0,3,3,1,Metro City,Semi-Furnished,0,Good,3900000
1190.0,2,2,10,Metro City,Fully Furnished,2,Good,4000000
2400.0,4,3,7,Metro City,Fully Furnished,1,Excellent,14200000
1145.0,2,2,10,Metro City,Semi-Furnished,2,Good,4600000
1580.0,3,2,15,Tier-2 City,Semi-Furnished,1,Good,1700000
2403.0,4,4,14,Metro City,Semi-Furnished,1,Good,27000000
1141.0,2,2,1,Metro City,Semi-Furnished,3,Excellent,4600000
1925.0,3,2,12,Tier-1 City,Unfurnished,2,Good,7750000
1430.0,3,2,1,Metro City,Semi-Furnished,1,Excellent,5450000
2400.0,5,5,19,Metro City,Fully Furnished,0,Excellent,40800000
1559.0,3,3,5,Metro City,Semi-Furnished,1,Good,6950000
1255.0,2,2,0,Metro City,Semi-Furnished,1,Excellent,4250000
4560.0,4,5,9,Metro City,Fully Furnished,2,Excellent,43000000
3000.0,7,4,7,Metro City,Semi-Furnished,1,Good,90000000
1134.0,2,2,11,Metro City,Semi-Furnished,1,Good,4500000
810.0,2,2,17,Metro City,Unfurnished,1,Poor,2550000
1632.0,4,3,16,Metro City,Unfurnished,2,Good,14000000
1500.0,3,3,10,Metro City,Fully Furnished,1,Good,9500000
672.0,1,1,20,Metro City,Fully Furnished,1,Good,3700000
1200.0,3,3,1,Metro City,Fully Furnished,1,Good,9000000
2400.0,4,5,0,Tier-1 City,Semi-Furnished,1,Excellent,29600000
1450.0,3,3,24,Metro City,Semi-Furnished,1,Excellent,6800000
1140.0,2,2,5,Rural Area,Semi-Furnished,1,Poor,500000
1459.0,2,2,9,Metro City,Fully Furnished,1,Good,9500000
1300.0,2,2,21,Metro City,Semi-Furnished,2,Good,7500000
1200.0,4,4,16,Metro City,Fully Furnished,0,Good,12500000
1901.0,3,3,10,Metro City,Semi-Furnished,1,Good,11900000
